no.,가수,곡 명,발매년도,계절,노래가사,성별
10,투어리스트,게스트 하우스,2015.04.30,여름,반가워 혹시 이름이 뭐예요 어쩌다 여기로 오게 된건가요 한번쯤 밍기적 느린 하루를 숨쉬고 싶었나요 새로워 여기 모든게 그래요 이제야 웃음이 편해진 것 같아 온종일 설레는 일 투성이야 그대의 환한 인사처럼 떠나요 제주도 유채 품에 안겨 어때요 달콤한 귤빛 한 모금에 우리 같이 매일 같이 함께 다녀볼래요? 낯선 이곳만큼 당신이 궁금해 걸어요 그림 속 돌담 꽃길따라 별자리 가득한 초록 바다를 보다 웃다 남몰래 두근대다 괜히 발끝만 바라봐요 반가워오늘은 뭐할거예요 갈 곳도 많은데 자꾸 생각이 나 혹시나 우리 같은 맘인걸까 어젯밤 잠못든 나처럼 멋대로 뛰는 내 마음 잡아줘요 이대로 한달음 달려가 말해볼까 사실 밤새워 망설이다 내일 비행기 미뤘어요,혼성
11,아이유,가을아침,2017.9.22,가을,이른 아침 작은 새들 노랫소리 들려오면 언제나 그랬듯 아쉽게 잠을 깬다 창문 하나 햇살 가득 눈부시게 비쳐오고 서늘한 냉기에 재채기할까 말까 눈 비비며 빼꼼히 창밖을 내다보니 삼삼오오 아이들은 재잘대며 학교 가고 산책 갔다 오시는 아버지의 양손에는 효과를 알 수 없는 약수가 하나 가득 딸각딸각 아침 짓는 어머니의 분주함과 엉금엉금 냉수 찾는 그 아들의 게으름이 상큼하고 깨끗한 아침의 향기와 구수하게 밥 뜸드는 냄새가 어우러진 가을 아침 내겐 정말 커다란 기쁨이야 가을 아침 내겐 정말 커다란 행복이야 응석만 부렸던 내겐 파란 하늘 바라보며 커다란 숨을 쉬니 드높은 하늘처럼 내 마음 편해지네 텅 빈 하늘 언제 왔나 고추잠자리 하나가 잠 덜 깬 듯 엉성히 돌기만 비잉비잉 토닥토닥 빨래하는 어머니의 분주함과 동기동기 기타 치는 그 아들의 한가함이 심심하면 쳐대는 괘종시계 종소리와 시끄러운 조카들의 울음소리 어우러진 가을 아침 내겐 정말 커다란 기쁨이야 가을 아침 내겐 정말 커다란 행복이야 응석만 부렸던 내겐 가을 아침 내겐 정말 커다란 기쁨이야 가을 아침 내겐 정말 커다란 행복이야 뜬구름 쫓았던 내겐 이른 아침 작은 새들 노랫소리 들려오면 언제나 그랬듯 아쉽게 잠을 깬다 창문 하나 햇살 가득 눈부시게 비쳐오고 서늘한 냉기에 재채기할까 말까,여
12,페퍼톤스,공원여행 ,2009.12.17,겨울,학교 앞 정류장을 지나 작은 횡단보돌 건너면 오른쪽 골목이 보이지? 그 길로 쭉 들어가 봐 살짝 젖어있는 길 위로 조금 가벼워진 발걸음 휴일 아침 맑은 공기가 많은 것을 새롭게 할거야 하낫! 둘! 셋! 넷! 씩씩하게 더 밝게 더 경쾌하게 둘! 둘! 셋! 넷! 튼튼하게 아주 조금 더 기운차게 널 따라오는 시원한 바람 길가에 가득한 아카시아 아무도 돌보지 않지만 건강하게 흔들리고 있어 어느새 너의 앞엔 작은 비밀의 공원 낡은 벤치에 앉아 눈을 감고 마음 속으로 다섯을 센 뒤 고개를 들어 눈을 뜰 때 넌 최고의 오후를 만나게 될거야 하낫! 둘! 셋! 넷! 씩씩하게 더 밝게 더 경쾌하게 둘! 둘! 셋! 넷! 튼튼하게 아주 조금 더 기운차게 하낫! 둘! 셋! 넷! 씩씩하게 아무 걱정 없는 것처럼 둘! 둘! 셋! 넷! 튼튼하게 아주 조금 요란스럽게 어때 기분이 좋아졌지? 한결 맘이 후련해졌지? 여기 숨찬 내가 보이니? 너에게로 달려가고 있어 거봐 너 아직 그런 미소 지을 수 있잖아,남
13,제이레빗,낭만여행,2014.06.20.,여름,누구나 한번쯤 떠나보고 싶은 여름 일곱빛깔 바다와 커다란 나무 그늘 아래 황홀한 달빛 숨겨진 은하수 춤추는 그곳 그대와 함께라면 어디든 좋아 시원한 바닷가도 무더운 여름밤도 그대와 함께라면 좋아 난 낭만이 가득한 춤과 음악이 넘치는 곳 잔잔한 호숫가 싱그런 바람이 머무는 곳 그대와 함께라면 어디든 좋아 로맨틱 JOUR CAFE도 익숙한 이 거리도 그대와 함께라면 좋아 난 나란히 손잡고 룰루랄라 발걸음 즐거운 사랑이란 그런 멈추고 싶지 않은 이야기 우리가 함께라면 어디든 좋아 가끔은 토라져도 다시 또 웃음짓는 그대와 함께라면 좋아 난 우리 함께라면 난 좋아 멀리 떠나지 않아도 괜찮아 특별하진 않아도 서로를 알 수 있는 매일 하루하루 선물인걸 우리 함께라면 난 좋아 랄랄라 랄랄랄라 랄랄랄 랄라 랄랄랄 라랄랄라 랄랄랄 랄랄랄라 랄랄랄라 랄랄랄 랄랄라 그대와 함께라면 어디든 좋아 함께라면 난 좋아,여
14,비투비,여행 가고 싶어,2016.08.06.,사계절,Yo! What’s up? I’m getting sick of doing the same thing every single day I know what you mean You know what? Let's just go and have some fun Let's go Woo 녹슨 너의 마음 요즘 따라 너무 지쳐 보여 끝없는 반복 숨 가쁘던 하루하루 오늘따라 날씨는 왜 이리 좋은 건지 잠시라도 떠나고 싶어 너와 함께 Cafe에서 계획들을 세우고 맛있는 곳을 찾아보고 지도를 체크하고 그 마음만 있으면 돼 용기를 내 봐 You're my story 우리 둘만의 추억 시작해 Story 조급하게 서두르진 않을게요 답답했던 너의 마음을 설레게 해줄게 지금 여행 가고 싶어 우리가 가는 여행에는 베짱이도 나와서 음악을 연주해 또 올라타네 런던행 지구 한 바퀴를 돌아서 만나는 모두와 친구해 비가 와도 왠지 웃음이 나고 마치 온 것 같아 여기는 영화 속 딱히 뭘 안 해도 들이 마셔 자유로움 우리는 그럴 자격이 있어 인간이라는 이유로 어렵지는 않아 마음이 가는 대로 Just a feeling 지금 이 순간 푸르고 푸른 하늘에 이제 네 몸을 맡겨 함께 떠나 볼까 잠시라도 난 웃고 싶어 Baby 자기야 뭘 망설이고 있니 너의 대답에 나 마음 졸이고 있니 Ay 낮에도 밤에도 늘 환하게 밝혀줄게요 산과 바다 어디든 상관없으니 너의 손을 꼭 잡으며 어디를 걸어도 난 좋아 향긋한 바람 위의 달달함 용기를 내 봐 You're my story 우리 둘만의 추억 시작해 Story 조급하게 서두르진 않을게요 답답했던 너의 마음을 설레게 해줄게 아 여행 가고 싶다 우리 조금 다투긴 했지만 화내는 모습마저 나는 너무나 예쁜 걸 Yo! I wanna go play I wanna go play with you today My outfit's on point and the weather’s so nice Baby hop on in and let’s go for a ride You're my story 우리 둘만의 추억 시작해 Story 조급하게 서두르진 않을게요 답답했던 너의 마음을 설레게 해줄게 지금 여행 가고 싶어 I can’t wait my baby You just tell me baby 지금 내 옆에 너만 있으면 돼 I can’t wait my baby You just tell me baby 지금 여행 가고 싶어,남
15,Ra.D,날 위한 여행,2013.03.29.,사계절,이렇게 나른한 오후엔 아무것도 손에 잡히지가 않아 크게 숨 들이쉬고 내쉬어 혹시 내 복잡한 맘 달래질까 이대론 안 될 것 같애 그래 새로 산 내 a 타고 시내가 아닌 고속도로로 I gotta go 나를 위한 여행 나를 위해 떠날래 조금은 심심하고 지루해도 뭐 어때 그냥 오늘은 혼자 쉴래 나를 위한 여행 나를 위해 떠날래 잠깐은 혼자인 게 어색하겠지만 오늘은 이대로가 더 좋아 이건 나를 위한 여행 찾아내기가 쉽지 않아 가끔 챙겨보는 드라마에 한 집 건너 나오는 아담하고 예쁜 카페는 인터넷에는 wow 막상가보면 what? 그래도 고마워 a real blogger 덕분에 오늘도 난 행복한 traveler 저기 창옆의 테이블 멋진 경치와 어울리는 그림같은 lady 참 좋은 날이죠? 나를 위한 여행 나를 위해 떠날래 조금은 심심하고 지루해도 뭐 어때 그냥 오늘은 혼자 쉴래 날 위한 여행 나를 위해 떠날래 잠깐은 혼자인 게 어색하겠지만 오늘은 이대로가 더 좋아 이건 나를 위한 여행이니까 I wanna go somewhere I can breathe and take some rest 싱그런 바닷바람과 향긋한 풀내음과 멋진 구름 그 위의 하늘 I wanna go 어디라도 나를 위한 여행 그 누구도 아닌 날 위해 떠날래 익숙하지 않아 조금은 심심하고 지루해도 뭐 어때 그냥 오늘은 혼자 쉴래 나를 위한 여행 나를 위해 떠날래 아주 잠깐은 혼자인 게 어색하겠지만 오늘은 이대로가 더 좋아 나를 위한 여행,남
16,"양희은, 윤종신",배낭여행,2014.10.21.,사계절,배낭하나 짊어지고 길 떠나고만 싶어 바람따라 구름따라 거칠 것 하나없이 같이 떠날 누군가 있으면 참 좋겠어 외로울 때 혼자 부를 노래가. 마음에 한가득 남아있으면 좋아 제자리에 머물면서 왜 알수 없는걸까 멀리멀리 떠나야만 왜 내가 잘 보일까 같이 떠날 누군가 있으면 참 좋겠어 외로울 때 내가 부를 이름도 마음에 한사람 있어준다면 좋아 배낭하나 짊어지고 길 떠나고만 싶어 바람따라 구름따라 거칠 것 하나없이 산다는건 무엇일까? 행복은 또 어디에 왜 모든 소중한것들은 우리 눈에 안보이는걸까 제자리에 머물면서 왜 알수 없는걸까 멀리멀리 떠나야만 왜 내가 잘 보일까,혼성
17,이진아,"밤, 바다, 여행",,여름,밤바다 무작정 기차 타고 떠났던 너와 둘만이 밤하늘 보았던 그 여름밤 아름다웠지 너와 춤추던 그 라틴 음악 멋진 너와 입 맞추던 날 꿈처럼 완벽한 너 슬픔 bye bye bye 이 순간만큼은 다 잊을래 아픔 bye bye bye 어두운 빛은 모두 사라지네 밝게 변해가네 그대는 우리들의 미래를 얘기했지 화려한 불꽃 반짝이는 꿈을 상상하네 나는 한 번도 가려 하지 않은 길 끝에서 너의 품 안이라면 어디든 좋을 거야 두렵지 않아 흔들려도 괜찮아 슬픔 bye bye bye 이 순간만큼은 다 잊을래 아픔 bye bye bye 어두운 빛은 모두 사라지네 밝게 변해가네 그대는 눈빛에 진심을 담고 있죠 내가 기억 못 하는 것들도 알고 있는 것 같은 느낌 나를 사랑했나요 슬픔 bye bye bye 이 순간만큼은 다 잊을래 아픔 bye bye bye 어두운 빛은 모두 사라지네 밝게 변해가네 아픔 bye bye bye 어두운 빛은 모두 사라지네 밝게 변해가네,여
18,유엔,파도,2001.7.11,여름,"정훈)눈이 부시게 아름답던 바다 나의 눈속엔 그 보다 더 고운 너였어 정원)하얀 모래 위 너와 내가 남긴 추억들 파도가 떠나도 내겐 지워지지 않는걸 정훈)너를 보내고 나 또다시 찾은 바닷가 하지만 이제 내곁에 다른 사람 있는걸 새롭게 시작하고 싶어 그녀를 따라 왔어 하지만 내맘 니 모습만 생각이나 정원)그녀 머리에 쏟아진 별빛들 그 별빛아래 약속한 지난 날이 떠올라 워우워~~ 흔들리는 나의 마음을 가눌 길 없는 내 눈빛 너와 비슷한 사람 마저 쫓고 있었어 정훈)그 순간 내 두 눈 속에 너무 익숙했던 너의 뒷모습 정원)그렇게 그리던 지난날 바로 너였어 정훈)눈이 부시게 아름다운 바닷가 나의 눈 속엔 그보다 고운 너였어 정원)하얀 내맘에 지난날 우리가 남긴 추억들 파도가 안기듯 다시 네게 돌아 오는걸~, 간주중 정원)나와 마주친 당황한 니 얼굴 하지만 너의 곁에도 다른 누가 있는걸 워우워~ 정훈)너를 안고 싶은 내가슴 널 붙잡코픈 내 손길 허나 넌 이미 나를 둔채 멀어져 갔어 oh! 정원)하지만 널 돌아본 순간 두눈에 흐르던 니 눈물 때문에 정훈)꼭 나처럼 기다린 너란걸 알았어 날봐 정원)다시 너에게 달려가는 나를 봐 찌는 태양도 내 사랑을 가릴순 없어 정훈)하얀 모래위 우리의 사랑을 다시 새겨봐 이제는 내사랑 너를 놓지 않을 테니까",남
19,명카드라이브,냉면,2009.7.13,여름,차가워 너무나 속이 시려 너무나 이빨이 너무 시려 냉면 냉면 냉면 가슴이 너무 시려 냉면 냉면 냉면 널 보면 너무나 또 다시 봐도 너무나 차디차 몸이 떨려 냉면 냉면 냉면 질겨도 너무 질겨 냉면 냉면 냉면 그래도 널 사랑해 Hey Ya hey Ya Fire Fire 오 아가씨 Yeah ya Yeah Ya Warning Warning No No Hey Ya hey Ya Fire Fire 시간 있어? Yeah ya Yeah Ya Warning Warning No No 눈부신 햇살이 달콤하게 다가와 새파란 파도가 상큼하게 밀려와 바닷가에서 처음 만난 그 때 콩닥콩닥 난 사랑에 빠졌어 용기내 건넨 부끄러운 한 마디 차갑게 돌아온 황당한 말이 (꺼져~) 오 이럴 수가 어머나 어머나 나나 아이야 차가워 너무나 속이 시려 너무나 이빨이 너무 시려 냉면 냉면 냉면 가슴이 너무 시려 냉면 냉면 냉면 널 보면 너무나 또 다시 봐도 너무나 차디차 몸이 떨려 냉면 냉면 냉면 질겨도 너무 질겨 냉면 냉면 냉면 그래도 널 사랑해 Hey Ya hey Ya Fire Fire 오 아가씨 Yeah ya Yeah Ya Warning Warning No No Hey Ya hey Ya Fire Fire 오빠 믿지? Yeah ya Yeah Ya Warning Warning No No 튕기는 모습에 난 푹 빠져버렸어 처음엔 몰랐어 그렇게 난 반했어 난난난 그래 정말 난 그래 미쳐 미쳐 생각지도 못했어 오 바짝바짝 속이 탄단 말이야 오 그댄 나에게 아베마리아 (마리아~) 오 이럴수가 어쩌나 어쩌나 나 나 아이야 차가워 너무나 속이 시려 너무나 이빨이 너무 시려 냉면 냉면 냉면 가슴이 너무 시려 냉면 냉면 냉면 널 보면 너무나 또 다시 봐도 너무나 차디차 몸이 떨려 냉면 냉면 냉면 질겨도 너무 질겨 냉면 냉면 냉면 그래도 널 사랑해 Oh Love me Love me Baby Yeah Yeah-Ya Wanna Hold me Hold me Oh 옙삐 옙삐 Oh Love me Love me Baby Yeah Yeah-Ya Wanna Hold me Hold me Oh 옙삐 옙삐 나 나나 나나 나나 나 나나 나나 나나 나나 나나 나 나나 나 나나 나나 나나 나 나나 나나 나나 나나 나나 나 나나,혼성
20,자우림,매직 카펫 라이드,2000.7.4,사계절,이렇게 멋진 파란 하늘 위로 나르는 마법 융단을 타고 이렇게 멋진 푸른 세상 속을 날으는 우리 두 사람 신경 쓰지 마요 그렇고 그런 얘기들 골치아픈 일은 내일로 미뤄 버려요 인생은 한번 뿐 후회하지마요 진짜로 가지고 싶은걸 가져요 이렇게 멋진 파란 하늘 위에 지어진 마법 정원으로 와요 색색의 보석 꽃과 노루 비단 달콤한 우리 두사람 웬일인지 인생이 재미 없다면 지난 일은 모두 다 잊어 버려요 기회는 한번뿐 실수하지 마요 진짜로 해내고 싶은걸 찾아요 용감하게 씩씩하게 오늘의 당신을 버려봐요 이렇게 멋진 파란 하늘 위로 날으는 마법 융단을 타고 이렇게 멋진 장밋빛 인생을 당신과 나와 우리 둘이 함께 인생은 한번뿐 후회하지 마요 진짜로 가지고 싶은걸 가져요 용감하게 씩씩하게 오늘의 당신을 버려봐요 이렇게 멋진 파란 하늘위로 날으는 마법 융단을 타고 이렇게 멋진 초록 바다 속을 달리는 빨간 자동차를 타고 이렇게 멋진 푸른 세상 속을 날으는 마법 융단을 타고 이렇게 멋진 장미빛 인생을 당신과 나와 우리 둘이 함께,혼성
